step-1	am	is	are								している
	am	is	are	not							していない
	was	was	were								していた
	was	was	were	not							していなかった
	become	becomes	become								する
	do	does	do	not	become						しない
	became	became	became								した
	did	did	did	not	become						しなかった
	am	is	are		becoming						してきている
	am	is	are	not	becoming						してきていない
	was	was	were		becoming						してきていた
	was	was	were	not	becoming						してきていなかった
step-2	am	is	are	going to	be						している予定（よてい）だ
	am	is	are	not going to	be						している予定（よてい）ではない
	am	is	are	going to	become						する予定（よてい）だ
	am	is	are	not going to	become						する予定（よてい）ではない
	was	was	were	going to	be						している予定（よてい）だった
	was	was	were	not going to	be						している予定（よてい）ではなかった
	was	was	were	going to	become						する予定（よてい）だった
	was	was	were	not going to	become						する予定（よてい）ではなかった
	am	is	are	able to	become						することができる
	am	is	are	not able to	become						することはできない
	was	was	were	able to	become						することができた
	was	was	were	not able to	become						することはできなかった
				could not	become						することはできなかった
	am	is	are	supposed to	become						することになっている
	am	is	are	not supposed to	become						してはいけない
	was	was	were	supposed to	become						することになっていた
	was	was	were	not supposed to	become						してはいけなかった
	want	wants	want	to	be						していたい
	do not want	does not want	do not want	to	be						していたくない
	wanted	wanted	wanted	to	be						していたかった
	did not want	did not want	did not want	to	be						していたくなかった
	want	wants	want	to	become						したい
	do not want	does not want	do not want	to	become						したくない
	wanted	wanted	wanted	to	become						したかった
	did not want	did not want	did not want	to	become						したくなかった
	have	has	have	to	be						していなければいけない
	do not have	does not have	do not have	to	be						していなくてもいい
	had	had	had	to	be						していなければいけなかった
	did not have	did not have	did not have	to	be						していなくてもよかった
	have	has	have	to	become						しなければいけない
	do not have	does not have	do not have	to	become						しなくてもいい
	had	had	had	to	become						しなければいけなかった
	did not have	did not have	did not have	to	become						しなくてもよかった
step-3	will	will	will		be						しているだろう
	will	will	will	not	be						していないだろう
	will	will	will		become						するだろう
	will	will	will	not	become						しないだろう
	will	will	will	be able to	become						することができるだろう
	will	will	will	not be able to	become						することができないだろう
	may	may	may		be						しているかもしれない
	may	may	may	not	be						していないかもしれない
	may	may	may		become						するかもしれない
	may	may	may	not	become						しないかもしれない
	may	may	may	be able to	become						することができるかもしれない
	may	may	may	not be able to	become						することができないかもしれない
	can	can	can		be						している可能性（かのうせい）がある
	can	can	can	not	be						している可能性（かのうせい）はない
	can	can	can		become						することができる
	can	can	can	not	become						することはできない
	should	should	should		be						しているほうがいい
	should	should	should	not	be						していないほうがいい
	should	should	should		become						するほうがいい
	should	should	should	not	become						しないほうがいい
	should	should	should		be						しているはずだ
	should	should	should	not	be						しているはずではない
	should	should	should		become						するはずだ
	should	should	should	not	become						しないはずだ
	should	should	should	be able to	become						することができるはずだ
	should	should	should	not be able to	become						することはできないはずだ
	must	must	must		be						しているにちがいない
	must	must	must	not	be						していてはいけない
	must	must	must		become						するにちがいない
	must	must	must	not	become						してはいけない
	must	must	must	be able to	become						することができるにちがいない
	must	must	must	not be able to	become						することはできないにちがいない
	had better	had better	had better		be						しているべきだ
	had better	had better	had better	not	be						しているべきではない
	had better	had better	had better		become						するべきだ
	had better	had better	had better	not	become						するべきではない
	will have	will have	will have	to	be						していなければいけないだろう
	will not have	will not have	will not have	to	be						していなくてもいいだろう
	will have	will have	will have	to	become						しなければいけないだろう
	will not have	will not have	will not have	to	become						しなくてもいいだろう
	will have	will have	will have	to be able to	become						することができなければいけないだろう
	will not have	will not have	will not have	to be able to	become						することができなくてもいいだろう
	may have	may have	may have	to	be						していなければいけないかもしれない
	may not have	may not have	may not have	to	be						していなくてもいいかもしれない
	may have	may have	may have	to	become						しなければいけないかもしれない
	may not have	may not have	may not have	to	become						しなくてもいいかもしれない
	may have	may have	may have	to be able to	become						することができなければいけないかもしれない
	may not have	may not have	may not have	to be able to	become						することができなくてもいいかもしれない
step-4	have	has	have		been				（ずっと）	形容詞	している
	have	has	have	not	been				（ずっと）	形容詞	していない
	have	has	have		been						していたことがある
	have	has	have	not	been						していたことはない
	have	has	have		become						したことがある
	have	has	have	not	become						したことはない
	had	had	had		been		till then		それまでずっと	形容詞	していた
	had	had	had	not	been		till then		それまでずっと	形容詞	していなかった
	had	had	had		been		before that		それ以前（いぜん）	形容詞	していたことがあった
	had	had	had	not	been		before that		それ以前（いぜん）	形容詞	していたことはなかった
	had	had	had		become		before that		それ以前（いぜん）	形容詞	したことがあった
	had	had	had	not	become		before that		それ以前（いぜん）	形容詞	したことはなかった
step-5	may have	may have	may have		been						していたかもしれない
	may not have	may not have	may not have		been						していなかったかもしれない
	may have	may have	may have		become						したかもしれない
	may not have	may not have	may not have		become						しなかったかもしれない
	can not have	can not have	can not have		been						していたはずがない
	can not have	can not have	can not have		become						したはずがない
	should have	should have	should have		been						しているほうがよかった
	should not have	should not have	should not have		been						していないほうがよかった
	should have	should have	should have		become						するほうがよかった
	should not have	should not have	should not have		become						しないほうがよかった
	must have	must have	must have		been						していたにちがいない
	must not have	must not have	must not have		been						していなかったにちがいない
	must have	must have	must have		become						したにちがいない
	must not have	must not have	must not have		become						しなかったにちがいない
step-6	would	would	would		be						していただろう
	would	would	would	not	be						していなかっただろう
	would	would	would		become						しただろう
	would	would	would	not	become						しなかっただろう
	would have	would have	would have		been						していたことだろう
	would not have	would not have	would not have		been						していなかったことだろう
	would have	would have	would have		become						したことだろう
	would not have	would not have	would not have		become						しなかったことだろう
	could have	could have	could have		been						していた可能性（かのうせい）がある
	could not have	could not have	could not have		been						していた可能性（かのうせい）はない
	could have	could have	could have		become						した可能性（かのうせい）がある
	could not have	could not have	could not have		become						した可能性（かのうせい）はない
	might have	might have	might have		been						していたかもしれなかった
	might not have	might not have	might not have		been						していなかったかもしれなかった
	might have	might have	might have		become						したかもしれなかった
	might not have	might not have	might not have		become						しなかったかもしれなかった