step-1		is	are								だ
		is	are	not							ではない
		was	were								だった
		was	were	not							ではなかった
		gets	get								になる
		does	do	not	get						にならない
		got	got								になった
		did	did	not	get						にならなかった
		is	are		getting						になってきている
		is	are	not	getting						になってきていない
		was	were		getting						になってきていた
		was	were	not	getting						になってきていなかった
step-2		is	are	going to	be						になろうとしている
		is	are	not going to	be						になろうとしていない
		was	were	going to	be						になろうとしていた
		was	were	not going to	be						になろうとしていなかった
		has	have	to	be						でなければいけない
		does not have	do not have	to	be						でなくてもいい
		has	have	to	get						にならなければいけない
		does not have	do not have	to	get						にならなくてもいい
		had	had	to	be						でなければいけなかった
		did not have	did not have	to	be						でなくてもよかった
		had	had	to	get						にならなければいけなかった
		did not have	did not have	to	get						にならなくてもよかった
step-3		will	will		be						だろう
		will	will	not	be						ではないだろう
		will	will		get						になるだろう
		will	will	not	get						にはならないだろう
		may	may		be						かもしれない
		may	may	not	be						ではないかもしれない
		may	may		get						になるかもしれない
		may	may	not	get						にはならないかもしれない
		can	can		be						な・の可能性（かのうせい）がある
		can	can	not	be						な・の可能性（かのうせい）はない
		can	can		get						になる可能性（かのうせい）がある
		can	can	not	get						になる可能性（かのうせい）はない
		should	should		be						な・のほうがいい
		should	should	not	be						ではないほうがいい
		should	should		get						になるほうがいい
		should	should	not	get						にはならないほうがいい
		should	should		be						な・のはずだ
		should	should	not	be						ではないはずだ
		should	should		get						になるはずだ
		should	should	not	get						にはなるはずがない
		must	must		be						にちがいない
		must	must	not	be						ではいけない
		must	must		get						になるにちがいない
		must	must	not	get						になってはいけない
		will have to	will have to		be						でなければいけないだろう
		will not have to	will not have to		be						でなくてもいいだろう
		will have to	will have to		get						にならなければいけないだろう
		will not have to	will not have to		get						にならなくてもいいだろう
		may have to	may have to		be						でなければいけないかもしれない
		may not have to	may not have to		be						でなくてもいいかもしれない
		may have to	may have to		get						にならなければいけないかもしれない
		may not have to	may not have to		get						にならなくてもいいかもしれない
step-4		has	have		been				（ずっと）	形容詞	だ
		has	have	not	been				（ずっと）	形容詞	ではない
		has	have		been						だったことがある
		has	have	not	been						だったことはない
		has	have		gotten						になったことがある
		has	have	not	gotten						になったことはない
		had	had		been		till then		それまでずっと	形容詞	だった
		had	had	not	been		till then		それまでずっと	形容詞	ではなかった
		had	had		been		before that		それ以前（いぜん）	形容詞	だったことがあった
		had	had	not	been		before that		それ以前（いぜん）	形容詞	だったことはなかった
		had	had		gotten		before that		それ以前（いぜん）	形容詞	になったことがあった
		had	had	not	gotten		before that		それ以前（いぜん）	形容詞	になったことはなかった
step-5		may have	may have		been						だったかもしれない
		may not have	may not have		been						ではなかったかもしれない
		may have	may have		gotten						になったかもしれない
		may not have	may not have		gotten						にはならなかったかもしれない
		can not have	can not have		been						だったはずがない
		can not have	can not have		gotten						になったはずがない
		should have	should have		been						な・のほうがよかった
		should not have	should not have		been						ではないほうがよかった
		should have	should have		gotten						になるほうがよかった
		should not have	should not have		gotten						にはならないほうがよかった
		must have	must have		been						だったにちがいない
		must not have	must not have		been						ではなかったにちがいない
		must have	must have		gotten						になったにちがいない
		must not have	must not have		gotten						にはならなかったにちがいない
step-6		would	would		be						だっただろう
		would	would	not	be						ではなかっただろう
		would	would		get						になっただろう
		would	would	not	get						にはならなかっただろう
		would have	would have		been						だったことだろう
		would not have	would not have		been						ではなかったことだろう
		would have	would have		gotten						になったことだろう
		would not have	would not have		gotten						にはならなかったことだろう
		could have	could have		been						だった可能性（かのうせい）がある
		could not have	could not have		been						だった可能性（かのうせい）はない
		could have	could have		gotten						になった可能性（かのうせい）がある
		could not have	could not have		gotten						になった可能性（かのうせい）はない
		might have	might have		been						だったかもしれなかった
		might not have	might not have		been						ではなかったかもしれなかった
		might have	might have		gotten						になったかもしれなかった
		might not have	might not have		gotten						にはならなかったかもしれなかった