in	my	room	私（わたし）の部屋（へや）に
in		Shinjuku	新宿（しんじゅく）に
in		Shibuya	渋谷（しぶや）に
in	a	department store	デパートに
at		home	家（いえ）で	一人称
at	her	home	彼女（かのじょ）の家（いえ）で
at	a	bus stop	バス停（てい）で
on	the	sofa	ソファの上（うえ）に
on	the	train	電車（でんしゃ）に
on	the	chair	イスに
with	a	friend	友人（ゆうじん）と
with	my	dog	私（わたし）のイヌと
with	my	cat	私（わたし）のネコと
with	my	father	私（わたし）の父（ちち）と
with	my	mother	私（わたし）の母（はは）と
with	my	sister	私（わたし）の姉（あね）・妹（いもうと）と
with	my	brother	私（わたし）の兄弟（きょうだい）と
with	my	family	私（わたし）の家族（かぞく）と
with	my	boyfriend	私（わたし）のボーイフレンドと
with	my	girlfriend	私（わたし）のガールフレンドと